ETC_20150317_000001	Kepa	케파
ETC_20150317_000002	Monster yang tidak begitu kuat, tapi bisa membuatmu menangis jika mengirisnya terburu-buru.	그리 강한 몬스터는 아니지만 섣불리 공격했다간 눈에서 눈물을 쏟게 될겁니다. 
ETC_20150317_000003	Large Kepa	대형 케파
ETC_20150317_000004	Terkadang ada banyak orang yang mencoba memakan Large Kepa, tolong hentikan kebiasaan itu.	가끔 엘리트케파를 먹어보려는 사람들이 있는데, 꼭 말리시길 바랍니다.
ETC_20150317_000005	Red Kepa	붉은 케파
ETC_20150317_000006	Kepa yang ini cukup unik, Red Kepa lebih mirip seperti Kepa biasa.	보통 인식과 달리 붉은 케파가 더 원형 케파에 가깝습니다.
ETC_20150317_000007	Poisoned Kepa.	중독된 케파
ETC_20150317_000008	Monster	몬스터
ETC_20150317_000009	Hamming	하밍
ETC_20150317_000010	Hamming keliatannya cukup lemah tapi kulitnya sangat keras.	하밍은 상대적으로 다루기 쉬운 몬스터이지만, 외피는 무척 단단합니다.
ETC_20150317_000011	Chinency	치넨시
ETC_20150317_000012	Tidak seperti wujudnya sebenarnya ini adalah mutasi dari tanaman.	보기와 달리 식물의 줄기가 변형된 몬스터입니다.
ETC_20150317_000013	Mutant Chinency	변이 치넨시
ETC_20150317_000014	Jukopus	유코푸스
ETC_20150317_000015	Struktur dalam Yupokus yang biasa dipakai untuk penelitian.	유코푸스의 내부구조는 밝혀지지 않은 연구분야입니다.
ETC_20150317_000016	Blue Jukopus	푸른 유코푸스
ETC_20150317_000017	Gray Jukopus	회색 유코푸스
ETC_20150317_000018	Tergantung tingkat kedewasaannya, monster ini sangat tertantang mengeluarkan berbagai teknik.	성숙도에 따라 다양한 기술로 공격해오는 몬스터입니다.
ETC_20150317_000019	Pokuborn	포쿠본
ETC_20150317_000020	Yellow Pokuborn	노란 포쿠본
ETC_20150317_000021	Blue Pokuborn	푸른 포쿠본
ETC_20150317_000022	Banyak rumor tentang mahluk ini, yang pasti jangan melawannya jika sedang lapar.	다른 주의사항도 많지만, 돌진에 찔리지 마십시오.
ETC_20150317_000023	Green Pokuborn	초록 포쿠본
ETC_20150317_000024	Monster yang sering muncul, dagingnya bisa di konsumsi.	몬스터화한 후에도 고기는 얻을 수 있다는 점이 장점입니다.
ETC_20150317_000025	Blue Pokubu	푸른 포쿠부
ETC_20150317_000026	Vensi	밴시
ETC_20150317_000027	Soul of people stepped Barudo~uru to Makai is shows in the world become a demon now for several reasons.	여러 이유로 마계에 발들 디딘 사람들의 영혼이 이제 악령이 되어 세상에 나타났습니다.
ETC_20150317_000028	Red Banshee	붉은 밴시
ETC_20150317_000029	Evil Spirit	사악한 망령
ETC_20150317_000030	Soul that has not received the guidance of the goddess I'll be born in response to the control of the Asmodian.	여신의 인도를 받지 못한 영혼들이 마족의 지배를 받아 생겨납니다.
ETC_20150317_000031	Large Banshee	대형 밴시
ETC_20150317_000032	Beehive	벌통
ETC_20150317_000033	Blue bee nest	푸른 벌통
ETC_20150317_000034	Nest of Gurehachi	회색 벌통
ETC_20150317_000035	Red beehive	붉은 벌통
ETC_20150317_000036	Bushspider	크루마보
ETC_20150317_000037	In the shade of the forest, it is mainly monster that format was pest has become larger in size.	그늘진 숲에서 주로 서식하던 해충이 크기가 커진 몬스터입니다.
ETC_20150317_000038	Black Bushspider	검은 크루마보
ETC_20150317_000039	Red Bushspider	붉은 크루마보
ETC_20150317_000040	White Crewmabow	하얀 크루마보
ETC_20150317_000041	Yellow Bushspider	노란 크루마보
ETC_20150317_000042	Disgusting Dionia	구역질나는 디오니아
ETC_20150317_000043	Dionia Poza	디오니아 포자
ETC_20150317_000044	Blue Fragaras	푸른 프라가라스
ETC_20150317_000045	There is no much change but was larger size than before deformation. In other words, it was a dangerous plant from before that.	변형 전에 비해 크기는 더 커졌지만 변화는 많지 않습니다. 다시 말해 그 전부터 위험한 식물이었습니다.
ETC_20150317_000046	Black Pragaras	검은 프라가라스
ETC_20150317_000047	Red Fragaras	붉은 프라가라스
ETC_20150317_000048	Vubbe Fighter	부베 투사
ETC_20150317_000049	Blue Vubbe Fighter	푸른 부베 투사
ETC_20150317_000050	Red Vubbe fighter	붉은 부베 투사
ETC_20150317_000051	Tidak diketahui apakah para Vubbe Fighter telah terlatih atau memang terlahir seperti itu.	부베 투사가 성장하는 것인지 선천적으로 태어나는지 아직 밝혀지지 않았습니다.
ETC_20150317_000052	Golem	골렘
ETC_20150317_000053	Gray Golem	회색 골렘
ETC_20150317_000054	Meduja	미듀쟈
ETC_20150317_000055	Some people use a Mide~yu child, and to be able to contact the soul dead.	어떤 사람들은 미듀자를 통해 죽은 영혼과 접촉할 수 있다고 합니다.
ETC_20150317_000056	Blue Meduja	푸른 미듀쟈
ETC_20150317_000057	Green Meduja	초록 미듀쟈
ETC_20150317_000058	Red Meduja	붉은 미듀쟈
ETC_20150317_000059	Researchers, there is a soul in the plant, that is it deformation is called Mide~yu.	연구자들은 식물에게 영혼이 있고 그것이 변형된 것이 미듀자라고 합니다.
ETC_20150317_000060	Meduja Larva	미듀쟈 유충
ETC_20150317_000061	Elaganos	엘라가노스
ETC_20150317_000062	Bite	바이트
ETC_20150317_000063	Some people, you have the better they to meet the physical Toka arrow.	어떤 사람들은 이들에게 물리느니 화살에 맞는 것이 낫다고 합니다.
ETC_20150317_000064	Puragi	푸라기
ETC_20150317_000065	Ruklys of civil war at that time Asmodian attacked Ruklys soldier was secretly turned on them is a secret that has been hidden history.	루클리스 내전 당시 마족들이 이들을 은밀히 투입하여 루클리스 병사들을 공격한 것은 역사의 감춰진 비밀입니다.
ETC_20150317_000066	Blue Puragi	푸른 푸라기
ETC_20150317_000067	Pura among other group, I like deodorizing with these biocides.	푸라기 중에서도 이들은 특히 살생과 탈취를 좋아합니다.
ETC_20150317_000068	Green Puragi	초록 푸라기
ETC_20150317_000069	I have never seen anyone is in the mask of straw capped to face	얼굴에 뒤집어쓴 지푸라기가면 속은 아무도 본적이 없습니다
ETC_20150317_000070	Red Puragi	붉은 푸라기
ETC_20150317_000071	Large Puragi	대형 푸라기
ETC_20150317_000072	Zigri	지그리
