QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20150317_000002	Statue of Goddess Vakarine	여신 바카리네의 상
QUEST_20150317_000003	Please select a territory	지역을 선택해주세요.
QUEST_20150317_000004	Select	선택
QUEST_20150317_000005	Please select an item.	아이템을 선택해주세요.
QUEST_20150317_000006	Select Group	그룹 선택
QUEST_20150317_000007	Please select a cheat start group.	치트 스타트 그룹을 선택하세요.
QUEST_20150317_000008	Select Zone	존 선택
QUEST_20150317_000009	Please select a starting Zone	시작할 존을 선택하세요.
QUEST_20150317_000010	Select Advancement	전직 선택
QUEST_20150317_000011	Please select a class	원하시는 직업을 선택하세요.
QUEST_20150317_000012	Bokor Master	보코르 마스터
QUEST_20150317_000013	You want to know about this slate? {Nl} I'll show you the vision of the one who made this slate	이 석판이 어떤 물건인지 궁금하시다고요.{nl}원하신다면 이 석판을 만든 자의 의지를 환영으로 보여드리지요.
QUEST_20150317_000014	Goddess Laima	여신 라이마
QUEST_20150317_000015	By the time you see this revelation, a long time must have passed by. {Nl} I am Laima, the Goddess of Fate and Luck. {Nl}	당신이 이 계시를 보고 있을 땐 이미 오랜 시간이 흐른 뒤이겠지요.{nl}저는 운명과 예지의 여신 라이마 입니다.{nl}
QUEST_20150317_000016	When I made this revelation to 600 years ago, I saw a lot of grief and death. {Nl} Your seeing this revelation would mean that all the I predicted have become reality. {Nl}	600년 전에 이 계시를 만들면서 저는 많은 슬픔과 죽음을 보았습니다.{nl}당신이 이 계시를 보았다는 것은 제가 예지한 모든 일이 현실로 벌어졌겠지요.{nl}
QUEST_20150317_000017	The first disaster was cause by the Demons, and all the Goddesses may have disappeared. {Nl} I know all of this beforehand and tried my best to prevent it from happening, but my power was not enough. {Nl}	이미 첫 번째 재앙은 마족에 의해 일어났고 여신들은 모두 자취를 감추었을 것입니다.{nl}저는 이 모든 것을 미리 알았고, 막으려 노력했지만 제 힘은 너무나도 미약했습니다.{nl}
QUEST_20150317_000018	I walked through the long path of predictions to find the answer. {Nl} At the end of the dream was you.. The Savior. {Nl}	전 해답을 찾기 위해 기나긴 예지의 꿈 속을 거닐었습니다.{nl}그 꿈의 끝은 바로 당신.. 구원자였습니다.{nl}
QUEST_20150317_000019	However, knowing my power to foresee fate, the Demons would not have left me alone {nl}so I had to hide myself until I meet you. {Nl}	하지만 예지의 힘을 가진 절 마족이 가만 둘 리가 없었기에{nl}당신이 나타날 때 까지 어떻게든 몸을 피해야만 했습니다.{nl}
QUEST_20150317_000020	I decided to divide and put myself in multiple of revelations. {Nl} Making and hiding myself in revelations around the kingdom continued for a thousand years. {Nl}	저는 스스로를 나누어 여러 개의 계시에 깃들기로 결심했습니다.{nl}왕국을 떠돌며 계시를 만들어 감추는 일은 천 년 동안이나 계속되었지요.{nl}
QUEST_20150317_000021	Dear Savior. {Nl} In order for me to stop the Demons, {nl}you need to find all the revelations that I have hidden in the Axis of Time.	구원자여.{nl}제가 완전한 모습을 되찾고 마족의 흉계를 멈추려면 {nl}모든 시간의 축에 감추어 놓은 계시를 전부 찾아 주셔야 합니다.
QUEST_20150317_000022	The burden of the sacred mission could press down your shoulders. {nl} . {Nl}	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}
